Reference_DB_ID,Organism_Meta_Data,Organism_List,ca01_ra,ca04_ra,ca05_ra,ca07_ra,ca10_ra,ca14_ra,ca15_ra,ca18_ra,ca21_ra,ca22_ra,ca23_ra,cb01_ra,cb04_ra,cb05_ra,cb07_ra,cb10_ra,cb14_ra,cb15_ra,cb18_ra,cb21_ra,cb22_ra,pa03_ra,pa04_ra,pa05_ra,pa06_ra,pa08_ra,pa10_ra,pa11_ra,pa18_ra,pa19_ra,pa22_ra,pa23_ra,pa28_ra,pb03_ra,pb04_ra,pb05_ra,pb06_ra,pb08_ra,pb10_ra,pb11_ra,pb18_ra,pb19_ra,pb22_ra,pb23_ra,pb28_ra,,,,,,,,,,
10,ATCC_BAA-835_complete_genome,Akkermansia_muciniphila_CP001071.1,0.21116,0.00003,0.01505,0.00041,0.02222,0.00032,0.00032,0.00012,0.00549,0.06993,0.13815,0.22268,0.00006,0.00002,0.00056,0.00129,0.01067,0.00033,0.02430,0.00365,0.11453,0.00009,0.00226,0.00000,0.00001,0.04711,0.08056,0.01158,0.00001,0.00170,0.05550,0.04321,0.00123,0.00012,0.00000,0.00593,0.00134,0.00428,0.03157,0.00442,0.03481,0.00050,0.34111,0.00059,0.00834,,,,,,,,,,
54,strain_ATCC_43185_chromosome_complete_genome,Bacteroides_caccae_CP022412.2,0.17418,0.00672,0.02008,0.02095,0.00360,0.00620,0.00620,0.01518,0.00887,0.00945,0.00882,0.01866,0.01320,0.00301,0.00780,0.01085,0.00515,0.00116,0.05945,0.00439,0.01384,0.04321,0.00017,0.13263,0.25444,0.00058,0.02889,0.00037,0.07684,0.00930,0.01074,0.04697,0.34387,0.02417,0.00030,0.02686,0.27658,0.00186,0.05224,0.00015,0.02138,0.00200,0.02333,0.02020,0.10866,,,,,,,,,,
116,strain_YL44_complete_genome,Akkermansia_muciniphila_CP015409.2,0.10504,0.00002,0.00766,0.00105,0.01124,0.00015,0.00015,0.00005,0.01070,0.12856,0.06999,0.11306,0.00003,0.00001,0.00134,0.00063,0.02143,0.00071,0.01275,0.00746,0.05541,0.00043,0.00472,0.00001,0.00000,0.09974,0.04116,0.00589,0.00000,0.00365,0.02857,0.02192,0.00255,0.00050,0.00001,0.00296,0.00342,0.00911,0.01601,0.00221,0.07316,0.00109,0.16383,0.00026,0.01680,,,,,,,,,,
136,ATCC_15703_DNA_complete_genome,Bifidobacterium_adolescentis_AP009256.1,0.05203,0.01931,0.01485,0.00395,0.00004,0.00663,0.00663,0.02379,0.03294,0.06636,0.07132,0.05298,0.00579,0.00237,0.00280,0.00069,0.00363,0.04075,0.00130,0.04317,0.02863,0.00007,0.00002,0.00885,0.00004,0.03675,0.02221,0.00004,0.00080,0.00824,0.00268,0.00460,0.00751,0.00029,0.00000,0.00007,0.00000,0.00182,0.00200,0.00005,0.00001,0.00142,0.00001,0.00000,0.00004,,,,,,,,,,
135,strain_22L_complete_genome,Bifidobacterium_adolescentis_CP007443.1,0.03377,0.03227,0.00792,0.00636,0.00002,0.01083,0.01083,0.04067,0.05080,0.03542,0.03788,0.08537,0.00441,0.00146,0.00490,0.00039,0.00291,0.07798,0.00151,0.03239,0.01633,0.00106,0.00009,0.01526,0.00002,0.06661,0.04044,0.00007,0.00051,0.01381,0.00121,0.00745,0.01272,0.00087,0.00000,0.00010,0.00000,0.00304,0.00317,0.00005,0.00000,0.00206,0.00001,0.00000,0.00005,,,,,,,,,,
18,subsp_longum_GT15_complete_genome,Bifidobacterium_longum_CP006741.1,0.02233,0.00799,0.04876,0.01331,0.00294,0.00327,0.00327,0.05027,0.05833,0.04511,0.05276,0.01698,0.00952,0.00397,0.00828,0.01710,0.00526,0.01211,0.00172,0.07012,0.02727,0.01905,0.09158,0.00488,0.01081,0.00020,0.02887,0.04786,0.17723,0.04592,0.02468,0.01229,0.03977,0.06970,0.00017,0.00012,0.01555,0.00401,0.00006,0.03497,0.00166,0.00197,0.00221,0.00000,0.00555,,,,,,,,,,
186,strain_indica_chromosome_complete_genome,Collinsella_aerofaciens_CP024160.1,0.02063,0.01996,0.02250,0.03275,0.01271,0.02032,0.02032,0.01502,0.02744,0.10252,0.11041,0.04672,0.01701,0.00752,0.03826,0.02544,0.03248,0.09172,0.01413,0.02583,0.06195,0.02716,0.14214,0.02377,0.00001,0.00006,0.03347,0.00027,0.00107,0.03384,0.02112,0.04987,0.01242,0.02320,0.23511,0.01665,0.00000,0.00622,0.01609,0.00015,0.00003,0.04662,0.00005,0.00528,0.01319,,,,,,,,,,
159,strain_mpk_genome,Bacteroides_vulgatus_CP013020.1,0.01836,0.06259,0.02399,0.06352,0.14704,0.01418,0.01418,0.08678,0.03085,0.00461,0.00807,0.01714,0.10790,0.00990,0.09495,0.14152,0.07908,0.00490,0.13454,0.05151,0.02059,0.14595,0.06586,0.07795,0.00514,0.00296,0.05602,0.00122,0.00344,0.06411,0.01271,0.03919,0.06741,0.18523,0.01403,0.02177,0.00707,0.00677,0.09214,0.00075,0.00286,0.10434,0.12461,0.04642,0.11041,,,,,,,,,,
25,strain_KB11_chromosome_complete_genome,Methanobrevibacter_smithii_CP017803.1,0.01767,0.00362,0.00384,0.01364,0.00021,0.00000,0.00000,0.00001,0.00248,0.00001,0.00000,0.00477,0.00267,0.00039,0.02272,0.00000,0.00180,0.00000,0.00000,0.00193,0.00596,0.02420,0.00331,0.00000,0.00000,0.00000,0.04402,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00225,0.01328,0.00000,0.00000,0.00000,0.01562,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,,,,,,
134,strain_BBMN23_complete_genome,Bifidobacterium_adolescentis_CP010437.1,0.01675,0.01400,0.00459,0.00256,0.00002,0.00455,0.00455,0.01877,0.01960,0.01381,0.01443,0.03086,0.00272,0.00089,0.00195,0.00079,0.00171,0.03043,0.00266,0.01724,0.00763,0.00008,0.00001,0.00644,0.00002,0.02639,0.01557,0.00005,0.00028,0.00628,0.00090,0.00333,0.00569,0.00011,0.00001,0.00017,0.00001,0.00122,0.00126,0.00003,0.00000,0.00102,0.00001,0.00001,0.00009,,,,,,,,,,
